value,valence
CC(N)=NO,1
COC(=O)OC,2
CN=C(NC)SC,3
C[N+]#[C-],2
CN=C(C)OC,3
CC(=O)NS(C)(=O)=O,2
CC(=O)NC(C)=O,2
COC(C)O,2
CON=[N+]=[N-],1
CC(=O)NN(C)C,3
COP(=O)(O)OC,2
CC(N)C(=O)N(C)C,3
COOC,2
CC(=O)NO,1
CNC(N)=O,1
CC(C)=N,2
CS(=O)(=O)[O-],1
CC(N)C(=O)O,1
CNC(=O)O,1
COB(C)OC,3
CON(C)C(C)=O,3
CC(=O)N(C)N(C)C,4
CN(C)N,2
CN=C(N)N(C)C,3
CSC(C)=O,2
CSSC,2
CNC=O,1
CN(C)O,2
CNS(=O)(=O)N(C)C,3
COP(C)(=O)OC,3
CN(C)C=O,2
CC(C)=NO,2
SCl,0
C[NH3+],1
CP(C)C,3
CN=O,1
CC(=O)NN,1
COC(C)(C)O,3
CN=CNC,2
CC=N,1
C=NC,2
CNC(=O)SC,2
CN(C)S(=O)(=O)N(C)C,4
CONC(C)=O,2
COP(=O)(O)O,1
CS(=O)(=O)Cl,1
CP(=O)(O)O,1
CNC(=O)C(C)O,2
CC(C)=[N+](C)C,4
CC(O)N(C)C,3
CN(C)N=[N+]=[N-],2
CNC(C)O,2
CNC(C)OC,3
COC(=O)C(C)N,2
CC(=O)C(C)=O,2
CNC(=O)C(C)=O,2
CC(=N)N(C)C,3
CNC(C)NC,3
CNSC,2
CB(O)O,1
CC(=O)OC(C)=O,2
CNC(C)=S,2
CC(=O)Cl,1
COC(C)(C)N(C)C,5
COC(N)=O,1
CC=NOC,2
CN=C(C)SC,3
CNNC(=S)NC,2
CC(=O)C(C)O,2
CC(=O)N=[N+]=[N-],1
CC(=O)N(C)S(C)(=O)=O,3
CSN(C)C,3
CC(N(C)C)N(C)C,5
COC=O,1
COC(=O)C(C)O,2
CC(O)C(=O)O,1
CN=CNC(C)=O,2
CN=C=O,1
CC(=O)ON(C)C,3
COC(C)SC,3
CNN=[N+]=[N-],1
COC(C)(OC)OC,4
CP(C)(C)=O,3
CNS(C)=O,2
CN(C)C(N)=O,2
CN=NN(C)C,3
C[Sn],1
COO,1
CP,1
CC=NN(C)C(C)=NC,4
COP(=O)(OC)OC,3
COS(=O)(=O)O,1
CN=C(N(C)C)N(C)C,5
COC(=O)O,1
BF,0
CON,1
CN(C)C(=S)N(C)C,4
CC(=O)C(C)N,2
NCl,0
CC(O)C(=O)N(C)C,3
CON(C(C)=O)C(C)=O,3
COC(C)=N,2
CC=NO,1
CC(O)O,1
CB(C)C,3
CNC(C)SC,3
CNC(C)(C)OC,4
CO[N+](=O)[O-],1
CC(=O)N(C)N,2
NI,0
COC(=O)C(C)=O,2
C[S+](C)C,3
CPC,2
CSC(C)SC,3
FS,0
CC(C)=S,2
COP(C)(=O)O,2
CC(=O)N(C)O,2
CC(=S)N(C)C,3
CSN=[N+]=[N-],1
CNS(=O)(=O)NC,2
CNP(=O)(OC)OC,3
CNC(C)(C)NC,4
CN=C(N)SC,2
CNC(=N)N,1
CSC(C)(C)N(C)C,5
CC(C)(O)O,2
CNC#N,1
CON=C(C)N,2
CN(C)S(C)=O,3
COB(C)O,2
CC=NNC(=S)NC,2
CNC(=O)NS(C)(=O)=O,2
CNC(C)(C)O,3
CN(C)C(C)(C)O,4
CC=[N+](C)C,3
CC(=O)N=C(C)C,3
CNNC(=O)NC,2
CN=C(C)N(C)NC,4
CSC(C)(C)SC,4
CNC(=S)SC,2
COOC(C)=O,2
CC(=O)C(=O)O,1
CC(=O)ON=C(C)C,3
CN=N,1
COP(C)(C)=O,3
PCl,0
NF,0
CP(C)(=O)O,2
CNN(C)N=[N+]=[N-],2
CC(=O)C(N)=O,1
CNOC(C)=O,2
CN=C(N)OC,2
CS(=O)O,1
CNC(=O)N(C)NC,3
CN(C)C(=N)N,2
CNN(C(C)=O)C(C)=O,3
CN(C)C#N,2
CN=C=S,1
C=[N+](C)C,3
C[N+](C)(C)[O-],3
CNNS(C)(=O)=O,2
CC(=NS(C)(=O)=O)N(C)C,4
CN=C(C)NS(C)(=O)=O,3
CN(C)C(C)(C)N(C)C,6
COSC,2
CN=C(NC)OC,3
