,id,cxsmiles
19,19,CC(C(=O)O)N1CCCOC1=O |$;;;;;;;;;U;;$|
20,20,"C1OC(OO1)(C2=CC=CC=C2)C(F)(F)F.CC.CC |$;;;;;;;;;;;;;;;;G;;R25$,m:15:0.1.2.3.4,m:17:6.7.8.9.10.5|"
21,21,"CCC(C)C(C1CCOC1)N.CC(=O)F |$;;;;;;;;;W;;;;;$,m:11:5.6.7.8.9|"
22,22,"C1CCCC2=C(CC1)C(=O)OC2(S)S.CC(C)=NN=C(C)N(C)C.CN=C(C)NSC |$;;;L2;D0;;;;Y;;;;;;;;;;;;;;;;;;;;;;$,m:14:0.7.6.5.4.3.2.1,m:24:8.5.4.11.10,Sg:n:2:I:ht|"
23,23,"C1C(O1)CO.CC |$;L;;;;;R3$,m:5:0.1.2|"
24,24,"COC1=C(NC(=O)C=C1CO)C(F)F.CC=NN(C)C(=O)NC |$;;;;;;;;;;J5;G4;;;;;;;;;;;$,m:14:2.8.7.5.4.3|"
25,25,"CC(C)(C)C(COC)N=[N+]=[N-] |$;;D;Z5;J;;;;;;$,Sg:n:6:q:ht|"
26,26,CC1(C(C(=O)C(=O)O1)Br)C |$;;;;;A5;;;;$|
27,27,"C1[C@H]2CC(=O)[C@H]1[C@@H]3[C@@H]2C(=O)OC3=O.CC |$;;B1;;;;;;;;;B;;;Y64$,m:13:8.7.6.11.10|"
28,28,"C=CC12C(CCO1)CC2CO.CN=NC(N)=O.CN=C(C)C |$T4;K;;L4;;;;;;;;;;;;;;;;;;$,m:11:4.3.2.6.5,m:17:7.8.2.3|"
29,29,"CC1(CCCCO1)C(C2=CSC=C2)NN.CC.CON(C)O |$;;T;;;Q;;;;;;;;;;;R2;;;;;$,m:15:2.3.4.5.6.1,m:17:9.8.12.11.10,Sg:n:9:F:ht,Sg:n:4:A:ht|"
30,30,"C1C(NCS1)OC(F)(F)F.CN=CNO |$;;;;;;;;;;;;;;$,m:10:0.1.2.3.4|"
31,31,"CCC1=C(OC(C1C)C)CC.CNOS(C)(=O)=O |$;;;;Q;;;L;;;;;;;;;;$,m:11:2.3.4.5.6,Sg:n:7:U:ht|"
32,32,COC(=O)[C@]1(C[C@@H]1C(F)(F)F)CN |$;;;;;;;;U8;;;;$|
33,33,"COC(=O)C1(CCNC1)N |$;K;;;;;;;;$,Sg:n:6:C:ht|"
34,34,"COC(=O)C1C(=CC=CC1([N+](=O)[O-])F)F.CC |$;;;;;;;X9;;;;;;;;;R$,m:15:4.9.8.7.6.5|"
35,35,CC(/C=C\C(=O)N)OC |$A8;;;;;;;A;$|
36,36,"COC(=O)C1=C(C=NO1)Br.COP(=O)(OC)OC |$;;;;;;;;;;;;;;;;;$,m:10:4.5.6.7.8|"
37,37,"CC(C1C(CO1)CO)O.CC |$;J4;;;;;;;;;R$,m:9:2.5.4.3|"
38,38,"CC(C)[C@H]1N2C[C@@H]2CO1.CC(=O)N(N=C(C)C)C(C)=O.CC |$;;;;T3;;;;;;;;;;;;;;;;;R$,m:9:3.4.6.7.8,m:20:5.4.6|"
39,39,CCC1(CC1)C2=NN=CO2 |$;;;;V8;;;;;$|
40,40,"COC1=CC=CC=C1[C@@H]2[C@H](CCN2)O.CC |$;;;;;;;;;;;;;;;R89$,m:14:9.8.12.11.10|"
41,41,"CC1=C(C=C(CC1)OC)C.CNNS(C)(=O)=O |$;;;;;;;;;;;;;;;;$,m:10:1.6.5.4.3.2,Sg:n:4:K:ht|"
42,42,"C1COC(CN1)C2=C(C=CN2)Cl.CC |$;;X;W7;;;;J6;;;;;;R$,m:12:0.5.4.3.2.1|"
43,43,"C1CNCOCC1C#N |$;;;;W;;;;$,Sg:n:1:v:ht|"
44,44,CCC(=O)OCC=C |$;;;D;;;;$|
45,45,C1C=C2C(=O)NC(N=C2O1)N |$;;;;Z9;;;;;;$|
46,46,"CCC1COCCS(=O)(=O)C1.CNO |$L4;;;;;;;;;;;;;$,m:11:2.3.4.5.6.7.10,Sg:n:2:A:ht|"
47,47,"C1CC(N(C1)C(=O)O)C2CCOCC2.CN=C(N(C)C)N(C)NC.CC(=O)N(C)C(C)=O |$;;;;;;E5;;;;;;X;;;;;;;;;;;;;;;;;;;$,m:14:0.1.2.3.4,m:24:9.10.11.12.13.8,Sg:n:8:A:ht|"
48,48,CC(C)C1CCOC1C(C)(C)C |$;;;E1;;;;K2;;;;$|
49,49,CC(C)C(C(=N)N)OC |$;;;;V1;;;;$|
50,50,"CC1C=COC(C1(C)C)C.CNNC(C)=S |$;;;;;;;;Z8;;;;;;;$,m:10:1.6.5.4.3.2|"
51,51,"COC(=O)C1CCC[C@H]1I.CC |$;;;;;;;;X7;U;;R$,m:10:4.5.6.7.8|"
52,52,CC1=[C-]C(=O)OC(O1)(C)C |$;;;;;;;;W4;$|
53,53,"CCOC(=O)C1(OO1)CCC#N.CC |$;;;;T;;;;;;;;;K83$,m:12:5.6.7,Sg:n:8,9:s:ht|"
54,54,"CC1(CCC(CC1)(F)F)OC.CC |$W6;;;;;;;;Q7;;;;M69$,m:11:1.6.5.4.3.2|"
55,55,"CC1=C2C(=CC=C1)CNCCO2 |$;;;;;;;W;;;Y;$,Sg:n:4:L:ht|"
56,56,"CC[C@@H]1OC(=O)[C@H](S1)F.CC |$K8;;;B9;E7;;;;;;J$,m:9:2.3.4.6.7|"
57,57,"CC1CC(C(O1)(C=C)O)C(C)C.CN(C)C(=S)N(C)N |$;;;;;;;;M;;;;;;;;;;;$,m:12:1.2.3.4.5|"
58,58,CCC1=C(C(=O)OC1=O)Cl |$;;;;;;;;;D5$|
59,59,"CC(C)[N+]1(CCCC1)COC.CC |$;;;;;;;A6;;;;;E93$,m:11:3.4.5.6.7,Sg:n:6:B:ht,Sg:n:10:z:ht|"
60,60,CCC1(C(O1)C#N)CC |$;V;;;;;;;$|
61,61,"C[C@@]1(C=CC(=O)O1)C=C.CC |$;;;;;V;;T;;;R0$,m:9:1.2.3.4.6|"
62,62,CC1=CC=CC=C1C(=O)OC |$;B0;;;;;;;;;$|
63,63,"C1CPCCC12CCPCO2.COC(=O)OC.CC |$K;;;;;;B0;;;T7;;;;;;;;;A$,m:11:0.5.4.3.2.1,m:17:6.7.8.9.10.5|"
64,64,"C1COCCN1C2=NON=C2C#N.CC |$;;;;L6;;;;;;;;;;Y64$,m:13:0.5.4.3.2.1|"
65,65,"CC(C)(CC(C)(C)S)C1CO1 |$;;;;X4;A1;;;;;$,Sg:n:3:q:ht|"
66,66,"CC(=O)COC(=O)C |$;;;;;;;$,Sg:n:6:j:ht|"
67,67,"C1C[C@@](NC1)(C2COCCN2)C(=O)O.CC |$;;;;;;;;;;;;;;;R$,m:14:6.7.8.9.10.5|"
68,68,"CC1=C(OC(=N1)C)C(=O)N(C)C(C)CO.CC=NOC(N)=O |$;;;;;;;;;;;;;;D4;;;;;;;$,m:15:1.2.3.4.5|"
69,69,COC1=C(C=C(C=C1)O)/C=C/I |$;;;;;;;;Z3;;;$|
70,70,"C1=CC2=C(C=C1C[SH2+])OC=N2.CC.COP(O)(=S)OC |$;;;;;;;;;;;;G99;;;;;;;$,m:11:0.5.4.3.2.1,m:13:8.3.2.10.9|"
71,71,"C1CC2CSCC1CO2.CC.CC |$;;;;;;X;;;;R2;;R5$,m:9:3.2.1.0.6.5.4,m:11:3.2.8.7.6.5.4,Sg:n:3:A:ht,Sg:n:5:V:ht|"
72,72,"CC1=C(OCC1=C)OC.CN=C(SC)N(C)NC |$;;;;;;L;;;;;;;;;;;$,m:9:1.2.3.4.5|"
73,73,"CC[P+](=C1C=COC1C=O)[O-].CC |$;;;;;;;;V;;;;R7$,m:11:3.4.5.6.7|"
74,74,"COC1=CC=CC(=C1)[O-].CC |$;;;;;;;;;;E1$,m:9:2.7.6.5.4.3|"
75,75,"C1OC2=C(O1)OC=C2.CC |$T1;;;;;;;;;E9$,m:8:0.1.2.3.4|"
76,76,"CCOC(C)C(CN)(N)O |$;;;D6;;;;;;$,Sg:n:7:E:ht,Sg:n:9:j:ht|"
77,77,COC1=C(C=CC2=C1C=NO2)Br |$;;;;;;;;;;B1;$|
78,78,"CC(=O)N1C[C@H](C(C1)OC)O.CC |$;K0;;;M2;;;;;;;;R2$,m:11:3.4.5.6.7|"
79,79,"C1OC2=C(O1)C=C(C(=C2)CF)O.CC(=N)NC(C)=O |$;;;;;;;;;L8;M2;;;;;;;;$,m:12:0.1.2.3.4,Sg:n:0:j:ht|"
80,80,"C1=C(N=C(O1)CBr)C(=O)[O-] |$;;;;;;;;;$,Sg:n:0:L:ht|"
81,81,"CC1COC2C1CCC2.CC |$;;X6;;;;;K6;;;R$,m:9:6.5.4.8.7|"
82,82,"C=C1COCCC1=O |$;;;;D9;;;A$,Sg:n:7:m:ht|"
83,83,"[CH2-][C@@H]1CC2=CC=CC=C2O1.CC |$;;T;;;;;;;;;K41$,m:10:4.5.6.7.8.3|"
84,84,"C1=CC2(C(O2)C=C1N)N.CNC(=O)ON |$;;;;;;;;;;;;;;$,m:9:0.6.5.3.2.1|"
85,85,"CC1CNC[C@@H](O1)C(=O)O.CC |$;;;;E0;;;;;Y;;W$,m:10:1.6.5.4.3.2|"
86,86,"C(C1C(O1)F)F.CN(N)N |$;;;;A2;E;;;;$,m:6:1.2.3|"
87,87,"CCN(C1CCOC1)C(=S)N.CC |$;;;;;;;;;V5;;;R$,m:11:3.4.5.6.7|"
88,88,"C1COC2=C(O1)C=C[C-]=C2.CC=[N+](C)C.CC |$;;;;;;;;;;;;;;;;R$,m:10:0.5.4.3.2.1,m:15:6.7.8.9.3.4,Sg:n:0:i:ht|"
89,89,"CC1CCC(C2(C1)CCC(=O)O2)C |$;;;;;;;;;;;;$,Sg:n:6:r:ht|"
90,90,"CC(C)C1(COC1)CCN |$;;;Z;;;;;;$,Sg:n:3:x:ht,Sg:n:5:H:ht,Sg:n:7,8:W:ht|"
91,91,CC1=CCCC(=C1O)OC |$;;;;X;;;;;$|
92,92,COC1=CC=CC=C1CC(=O)N |$;;W7;;;;;;;;Z3;W3$|
93,93,CC1(OC(=O)C(C(=O)O1)C(=O)O)C |$;;;;;U;;K9;;;;;$|
94,94,"C1C(COC1CN)O.CC |$;;;;;;Y;;;R$,m:8:0.1.2.3.4|"
95,95,"CC(C)(C)CC(C1=COC=N1)C(C)(C)C.CC |$;;;;;;;;V8;;;;;;Q4;;E8$,m:15:6.7.8.9.10|"
96,96,"CC1C=C(C2=CC=CC=C2S1)OC.CC.COSO |$;;;;;Z5;;;;;;;;;R01;;;;$,m:13:1.10.9.4.3.2,m:15:5.6.7.8.9.4|"
97,97,"C1COC2=C(C1=O)C=C(C=C2O)O.CC(=O)N(C)S |$;;;;;Q;;;;;;;;;;;;;$,m:13:7.8.9.10.3.4|"
98,98,"C1C[C@@H](C(C1)N2CCOCC2)O.CC(=O)NC(C)=O.CC |$;;;U2;;;V;;;;;;;;;;;;;;Q$,m:12:0.1.2.3.4,m:19:6.7.8.9.10.5,Sg:n:2:z:ht|"
99,99,CC(=O)OC(=O)C |$;;E;;;;$|
100,100,"C1=CC(=C(C(=C1)Cl)F)OC(F)(F)Cl.CC |$X;;;;;;B4;;;;;;V3;;R20$,m:13:0.5.4.3.2.1|"
101,101,"C1C[N+](=O)COC1.CC |$;;;;;L0;;;Y$,m:7:0.6.5.4.2.1,Sg:n:0:s:ht,Sg:n:6:N:ht|"
102,102,CC(C)OC1(CCCNC1)CCN |$;;;;;;;;;;E7;;$|
103,103,"C1=CC=C(C(=C1)OCCl)S(=O)O.CC |$;;;;;;;;;U;;;;X$,m:12:0.5.4.3.2.1|"
104,104,"CC1C(C(=O)OC1=O)SC.CN=C(NC)N(C)S(C)(=O)=O |$;;;Q;;;;;;;;;;;;;;;;;$,m:10:1.2.3.5.6|"
105,105,COC(=O)C1=CC=CC=C1[N+]#[C-] |$;;T;;;;;;;;;$|
106,106,"C1CC(OC1)CO.CC |$;;;;;;;;R88$,m:7:0.1.2.3.4,Sg:n:6:f:ht|"
107,107,"CC(CCl)OC(C)OC=C |$;;;;;;;;;$,Sg:n:6:C:ht|"
108,108,"CC1CNC(O1)(C)C2CCCNC2.CON=O.CC(=O)NS(C)=O |$;;;;;;;;G0;;;;;;;;;;;;;;;$,m:13:1.2.3.4.5,m:17:8.9.10.11.12.7|"
109,109,"CCC1CC2(C(O1)(CCO2)CC)CC.CC(C)=NO |$;;;U;;;;;;;;;;;;;;;$,m:14:7.5.4.9.8,Sg:n:6:q:ht,Sg:n:0:w:ht|"
110,110,C1COC(CN1)C(C=O)N |$;;;Y;;;;;;$|
111,111,"CO[C@H]1[C@H]([C@@H]([C@H](CO1)Cl)O)OS(=O)(=O)C.CC |$;;;;;;;;;;;;B3;;;;U$,m:15:2.7.6.5.4.3|"
112,112,"CC1C[N+](=C(O1)C(=O)[O-])C.CN(C)C=NN |$;;;;;E;;;;;;;;;;$,m:10:1.2.3.4.5|"
113,113,"C[C@@H]([C@@]1(CCOC1=O)CC#C)O.CN(C=O)S(C)(=O)=O |$;Z;;;;;;;;;;;;;;;;;;$,m:12:2.3.4.5.6|"
114,114,"CC(C)(C(=O)C1CC2CCC1C2)OC.CC |$;;;;;;;;;E;;;;D9;;R58$,m:14:5.6.7.11.10|"
115,115,"CC(C)OCC1(OCCO1)C.CS(=O)(=O)NS(C)(=O)=O |$;;;;;;;;;;;;;;;;;;;$,m:11:5.6.7.8.9|"
116,116,"COC1=NC(=NC=C1S)OC.CC |$B7;;;;;;;;;;;;U95$,m:11:2.7.6.5.4.3|"
117,117,"C1C[C@@H]2[C@@H]3[C@H]([C@H]1O2)CC(CO3)O.CN=S(C)(=O)NC.CC(=N)NC=O |$;;;;;;;;;;;;;;;;;;;;;;;;$,m:12:0.1.2.6.5,m:19:7.8.9.10.3.4|"
118,118,CC1C[NH+](CCO1)C |$;;;;;;;W8$|
119,119,"CC(C)(C)C1=C(C(=O)NC1=O)OC.CSS(C)=S |$;;;;;;;U;;;J8;;;;;;;$,m:13:4.5.6.8.9|"
120,120,"C1[C@H](O1)C2=CN=CN2.CC |$;;L4;;;B2;;;;K01$,m:8:0.1.2|"
121,121,"CC1C[O+](CC(=O)O1)[O-].CS(=O)(=O)NC=O |$Y;;;;;Z;;;Y;;;;;;;$,m:9:1.7.5.4.3.2|"
122,122,CC(=C)NC1=C(CCCO1)C(=N)Cl |$;;;;;M8;U4;;;;;;$|
123,123,"COC(=O)C[C@@H]1CCC=CC1.CC(O)C=N |$;;;;W;;;Q6;;;;;;;;$,m:11:5.10.9.8.7.6|"
124,124,"CC(=O)C(C1=C(C(=CC=C1)Br)OCF)Cl.CNS(=O)OC |$;;;;;;;Y1;;;;;;;;;;;;;$,m:15:4.9.8.7.6.5,Sg:n:14:a:ht,Sg:n:0:j:ht|"
125,125,"CC1=CC(=C(C=N1)Cl)C(=O)OC.CC |$;;;;;;;;;;;;;R4$,m:12:1.6.5.4.3.2|"
126,126,"C1C2COC(O1)(OC2S)P(=O)(O)O.C[SH2+] |$;;;Z;T;;;;;;;;;;$,m:13:0.5.4.6.7.1,Sg:n:1:k:ht|"
127,127,CC1=CC(=C(C(=C1Cl)C)[N+](=O)[O-])OC |$;;;;Y;;;;;;;;;$|
128,128,"CC(COC(C)(C)C)OCCO |$;;;;;;V4;;A;;;$,Sg:n:9,10:w:ht|"
129,129,"CC1(CC2C(O2)CC13CCC3=O)C.CC |$;M;;;;;;;;;;;;;Y6$,m:13:8.9.10.7|"
130,130,C[C@H]([C@H]1C=CC(=O)O1)O |$;B9;;;;;;;$|
131,131,"[CH-]([C@@H]1[C@H](O1)I)O.CNNC(=O)SC |$;;;;;;;;;;;;$,m:6:1.2.3|"
132,132,"C1NC2=C(C=CC=C2O1)[N+]#N.CC.CS(N)=O |$;;;;;;;;;;;;Q;;;;$,m:11:0.1.2.7.8,m:13:3.4.5.6.7.2,Sg:n:3:q:ht|"
133,133,CCOC(C1=CC=CC1)C2=CC=CC2 |$;;;A8;;;;M;;;;M0;U;$|
134,134,CC[C@@H](CC=C)NC(=O)OC |$;;;;;;B;;;;$|
135,135,COC(=N)C=S(=O)=O |$;;;V;;;;K$|
136,136,"COC(=O)C1C(C=CCS1)C(=O)O.CC |$;U0;;;;;A3;;;;;;;;Z50$,m:13:4.9.8.7.6.5|"
137,137,"C1CC[C@]2([C@@H](C1)O2)[C@@H]3CO3.CC.CC=NC(=NC)SC |$;;;;;;;;;;;R6;;;;;;;;$,m:10:0.5.4.3.2.1,m:12:6.4.3|"
138,138,"C[C@]1(C(OC(=O)N1C2CC2)(C)C)O.CON(C)C(=O)O.CC |$;;;;;;;;;;;X9;;;;;;;;;;E4$,m:13:1.2.3.4.6,m:20:8.7.9,Sg:n:9:j:ht|"
139,139,"CC12CC3CCCC(=O)C3=CC1(O2)C.CC(=N)N.CC |$;;;;;;;;;;;;;;;;;;;Q$,m:14:2.3.9.10.11.1,m:18:4.5.6.7.9.3|"
140,140,CC(C)(C)OC(=O)N |$T0;;;;X0;;Q;$|
141,141,CC1=C(C(=CO1)CO)C(=O)O |$;;;;;;W5;;;;D$|
142,142,"CCCC1(NCC(O1)C)C.CC(=N)N(C)C(C)=N |$;;;Z;;;;;;;;;;;;;;$,m:10:3.4.5.6.7,Sg:n:1,2:I:ht|"
143,143,"CC(C)(C)C1C(OC(=O)N1)CO |$;;;;;;;;;;;$,Sg:n:9:p:ht|"
144,144,"C1COCCC2=C1C(=O)NC=N2.CC(O)C=O.CSN(C)O |$;;;;;;;;;;;;;;;;;;;;;$,m:12:0.1.2.3.4.5.6,m:17:7.9.10.11.5.6,Sg:n:5:V:ht|"
145,145,C[C@H]1C(NCCO1)C(=O)O |$A;;;T0;;;;;;G0$|
146,146,"COCC1=N[C@@H](SC=C1)N.C[N+](=S)[S-] |$;;;;;;;A;;J7;;;;$,m:10:3.8.7.6.5.4|"
147,147,"CC1COC(N1)(C2CCCCC2)C(=O)C.CC=NN(C)N=C(C)C.CN=CN(C)OC |$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$,m:15:1.2.3.4.5,m:24:7.8.9.10.11.6,Sg:n:8:p:ht|"
148,148,"COC(=O)[C@H]1CNCC12CCCCC2.CC(=N)OC(C)=O |$;;;;;;;;;;;;;;;;;;;;$,m:14:9.10.11.12.13.8,Sg:n:4:V:ht,Sg:n:13:W:ht|"
149,149,"CC1=C(C(=CC=C1)N)OC.CC |$;Z;;;;;;;;T9;;G43$,m:10:1.6.5.4.3.2|"
150,150,"CCC1(CCCCO1)CCl |$;;;;;;;;;$,Sg:n:8:u:ht|"
151,151,COC1=CC(=C(C=C1)O)N |$;;U3;;;;;;;L$|
152,152,"COC1=C(C(=C(C=C1F)Br)C=O)F.CC |$;;;;Q;;;;L9;;;;;;W$,m:13:2.7.6.5.4.3|"
153,153,COC1[C@@H]([C@H]([C@H](CO1)O)O)O |$;;;;;;L;;;;$|
154,154,"CCOC(=O)C(C)(CC1CO1)O.CC |$;;;;;;;;;;;;;J77$,m:12:8.9.10|"
155,155,C[C@H]([C@@H]([C@H](C=O)O)OC)O |$;Z6;;;;M;;;;$|
156,156,CC(C)C(C1=NC=CO1)N(C)C(=O)C |$;;;;Y;;L;;;;;;;$|
157,157,"CC1(C(=O)CCCC1=O)C(C=C)OC.COC(O)OC |$;;;;;;;;E0;;;;;;;;;;;$,m:14:1.7.6.5.4.2,Sg:n:5:e:ht|"
158,158,"COC(C1=C(C=CC=N1)C=C)O.CNC(=O)NS(C)(=O)=O |$;;;;;K;;;;;;;;;;;;;;;$,m:12:3.8.7.6.5.4|"
159,159,C[C@@H](C(=O)OC)[NH-] |$;;;;X0;;$|
160,160,CC1=CC(=C(C(=C1OC)C)C)S |$;;;;;;A1;;;;;$|
161,161,"C1=NNC2=C1C(=O)OC2=O.CC |$;;Y;;;;;;;A8;;L36$,m:10:0.1.2.3.4|"
162,162,CC1=C[N+](=C(C(=C1OC)C)C)[O-] |$;;M;;;G4;;;;;T;$|
163,163,"C1C(=NC(=O)O1)C=S.CC |$;;;;;;M3;;;W$,m:8:0.1.2.3.5|"
164,164,"C1COCC=C1C(=O)O.CC |$;;;;;;;;;;R1$,m:9:0.5.4.3.2.1,Sg:n:2:v:ht|"
165,165,"CCNC(COCC)(N)O |$;;;;K;;;;;$,Sg:n:3:Z:ht,Sg:n:6:w:ht|"
166,166,"C[I-]N1CC(=O)OC(=O)C1.CC |$;;;;;;Q0;;;;;Y2$,m:10:2.9.7.6.4.3|"
167,167,"C1=C(OC(=C(C1=O)O)Br)CI.CNC(N)=S |$;B;G9;V5;;;;;;;;;;;;$,m:11:0.5.4.3.2.1|"
168,168,CC(C)/C=C(\CI)/C(=O)OC |$;Q7;;;Z;;;;;;$|
169,169,"C[C@@]12CC[C@@](C1(C)C)(OC2=O)CO.CC.CC |$;;J4;;;;;;;;;;;;R;;R$,m:13:2.1.5.4.3,m:15:5.4.8.9.1,Sg:n:1:o:ht|"
170,170,CC(C(=O)OC)N1CCCCC1 |$;;;;;;T;;;X;;$|
171,171,"C[C@H]1CC(OC1=O)CO.CC |$;;;;;V3;;;W7;;R$,m:9:1.2.3.4.5|"
172,172,C/C=C\1/C(=O)CCOC1=O |$;;;;;K9;;;;J3$|
173,173,"COC1C=CN=N1.CC=NN(C)C=O |$;;;;;;Q;;;;;;;$,m:7:2.3.4.5.6|"
174,174,"CC1=CC(=NS(=O)(=O)N1C)OC |$;;;;;;;;;;;$,Sg:n:10:E:ht|"
175,175,C[NH+](C)N(CC(=O)OC)O |$;L6;;Y;;;;;;$|
176,176,"CC(C)CC(C)(O)OC |$;;;;;;;;$,Sg:n:0:V:ht|"
177,177,"C1CSCCOCO1 |$;;;;;;;$,Sg:n:1:n:ht,Sg:n:0:H:ht|"
178,178,"C1C(CO1)(CCl)C2=CC=C(S2)Br.CSN.CN=C(SC)SN |$;;;;;;;;;;;;;;;;;;;;;$,m:12:0.3.2.1,m:15:7.6.10.9.8,Sg:n:0:I:ht,Sg:n:8:h:ht|"
179,179,"CC(C)(C=C)C1=C(NC=N1)COC.CC |$M1;;;;;;;;;;;;;;R$,m:13:5.6.7.8.9,Sg:n:2:k:ht|"
180,180,"C[C@H](CCC(=O)Cl)CC(=O)OC |$;D5;;X;;;;;;E3;;$,Sg:n:2,3:I:ht|"
181,181,"CCCC(C(C(F)F)C(=O)OCC)O |$;;;;G1;;X6;;;;D2;;;$,Sg:n:1,2:i:ht|"
182,182,C1=C[C@H]([C@H]2[C@H]([C@@H]1Cl)O2)Cl |$;;;;;;;;G1$|
183,183,C1COCCC1(C=O)F |$;;G;X;;;;;$|
184,184,C1C(C(=O)NC1=O)NC2COC2 |$E;;;;;;;;;;;B$|
185,185,"C1CC(C1)C2(CO2)C3=CN=CC=C3.CC.CC |$;;;;;;;B;;;;;;;Z;;R93$,m:13:0.3.2.1,m:15:8.9.10.11.12.7|"
186,186,"CCC(C1=CC=CO1)C(=C)C=C |$;;Q;;K;;;;;;;$,Sg:n:7:C:ht|"
187,187,C=C1OC(C(O1)C(=O)O)C(=O)O |$;Z3;B;;;;;;;T7;;$|
188,188,"COC(=O)[C@@H]1C=CC[C@H]([C@@H]1C(=O)OC)O |$;;;;;;L9;;;;;;;;$,Sg:n:5:B:ht|"
189,189,"CO[C@@H](CO)C1CCC1 |$;;;;;;;;X0$,Sg:n:3:u:ht|"
190,190,"CCC1COC(=O)C1(F)F |$;;;;;;;;;$,Sg:n:2:t:ht|"
191,191,"COC1C(=NC2=CC=CC=C2N1)OC.C=NC(=NC)NC |$L5;;;;;;;;;;;;;;;;;;;;$,m:14:2.11.10.5.4.3,Sg:n:13:B:ht|"
192,192,"CCOC(C(C)(C)C)(OCC)P=O |$;;;J;A;;;;;;;;$,Sg:n:9:j:ht|"
193,193,C[C@@H](CN(C)S(=O)(=O)C)OC |$;L8;;;;;;;;;$|
194,194,"C1COC2=C(C=CC(=C21)C(=O)O)N.CC |$;;;;;;;;;;D;;;;J$,m:13:0.1.2.3.8,Sg:n:10:r:ht|"
195,195,"CC1CCC(=C1)C2=CO2.CNP(C)(=S)NC |$;;;;;;;A;;;;;;;;$,m:9:1.2.3.4.5|"
196,196,"C1CC(OC=C1)CN.CNP(=S)(OC)OC |$;;;;;;;;;;;;;;;$,m:8:0.5.4.3.2.1,Sg:n:0:O:ht|"
197,197,"CC(C(=O)C1=CC=C(S1)Br)C(=O)OC.CSC(SC)SC |$;B9;;;L5;;;;;;;;;;;;;;;;$,m:14:4.5.6.7.8|"
